loss,accuracy,val_loss,val_accuracy
1.4055904150009155,0.6178125143051147,0.55850750207901,0.8165384531021118
0.6674097776412964,0.7824118733406067,0.46076101064682007,0.8480769395828247
0.5600606799125671,0.8139022588729858,0.413714736700058,0.8592307567596436
0.5070897340774536,0.8291025757789612,0.38831785321235657,0.8691346049308777
0.46680617332458496,0.8416105508804321,0.3755781650543213,0.8737980723381042
0.43887874484062195,0.8502243757247925,0.34979668259620667,0.8820673227310181
0.4213138222694397,0.8550000190734863,0.37014925479888916,0.8725481033325195
0.4026641547679901,0.8613301515579224,0.33687692880630493,0.8841345906257629
0.3888704776763916,0.8656409978866577,0.3319307267665863,0.8861538171768188
0.37845733761787415,0.8690063953399658,0.3298501968383789,0.8867307901382446
0.36813104152679443,0.87088942527771,0.32810649275779724,0.8852884769439697
0.3618115484714508,0.8730528950691223,0.33835723996162415,0.8849519491195679
0.35318127274513245,0.8762820363044739,0.3289576768875122,0.8882211446762085
0.34599658846855164,0.8794711828231812,0.32482805848121643,0.8892307877540588
0.341524600982666,0.8801361918449402,0.3319750130176544,0.8876923322677612
0.33322635293006897,0.8826923370361328,0.3315345048904419,0.8876923322677612
0.33205610513687134,0.8824359178543091,0.3251176178455353,0.8918750286102295
0.32651302218437195,0.8842868804931641,0.33070310950279236,0.8884134888648987
0.32576119899749756,0.8856890797615051,0.3217725157737732,0.8932692408561707
0.31996607780456543,0.8867468237876892,0.32479482889175415,0.8903846144676208
